순번,사업구분,항공사,등록기호,형식,제작번호,제작일자,기령(년),등록일자,좌석,최대이륙중량,정치장,도입형태,ICAO,IATA
7,국제항공운송사업,제주항공,HL8062,B737-800,33634,08.12.19,17,16.04.04,189,79015kg,제주국제공항,임차,B738,738
8,국제항공운송사업,제주항공,HL8063,B737-800,37519,09.01.21,17,16.04.18,189,79015kg,제주국제공항,임차,B738,738
9,국제항공운송사업,제주항공,HL8064,B737-800,37532,09.05.06,17,16.07.04,189,79015kg,제주국제공항,임차,B738,738
10,국제항공운송사업,제주항공,HL8087,B737-800,35018,09.11.05,16,16.12.09,189,79015kg,제주공항,임차,B738,738
11,국제항공운송사업,제주항공,HL8090,B737-800,37540,09.07.24,17,17.03.24,189,79015kg,제주국제공항,임차,B738,738
12,국제항공운송사업,제주항공,HL8089,B737-800,37543,09.09.11,16,17.04.21,189,79015kg,제주국제공항,임차,B738,738
13,국제항공운송사업,제주항공,HL7213,B737-800,36814,09.09.02,16,17.09.18,189,78999kg,제주국제공항,임차,B738,738
14,국제항공운송사업,제주항공,HL8301,B737-800,29646,07.06.08,19,17.12.18,189,79000kg,제주국제공항,임차,B738,738
15,국제항공운송사업,제주항공,HL8304,B737-800,37816,10.03.03,16,18.02.26,189,78999kg,제주국제공항,임차,B738,738
16,국제항공운송사업,제주항공,HL8303,B737-800,30826,05.06.23,21,18.04.11,189,79000kg,제주국제공항,임차,B738,738
17,국제항공운송사업,제주항공,HL8302,B737-800,29671,05.05.02,21,18.05.04,189,79000kg,제주국제공항,임차,B738,738
18,국제항공운송사업,제주항공,HL8305,B737-800,37817,10.08.11,16,18.07.30,189,79000kg,제주국제공항,임차,B738,738
19,국제항공운송사업,제주항공,HL8318,B737-800,64179,18.10.16,7,18.10.16,174,79000kg,제주국제공항,임구,B738,738
20,국제항공운송사업,제주항공,HL8331,B737-800,39009,11.09.29,14,18.11.06,189,79000kg,제주국제공항,임차,B738,738
21,국제항공운송사업,제주항공,HL8321,B737-800,35134,07.01.23,19,18.12.21,189,79000kg,제주국제공항,임차,B738,738
22,국제항공운송사업,제주항공,HL8332,B737-800,39010,11.12.19,14,19.01.29,189,79000kg,제주국제공항,임차,B738,738
23,국제항공운송사업,제주항공,HL8322,B737-800,34690,07.02.21,19,19.02.15,189,79000kg,제주국제공항,임차,B738,738
24,국제항공운송사업,제주항공,HL8333,B737-800,39013,12.05.21,14,19.04.16,189,79000kg,제주국제공항,임차,B738,738
25,국제항공운송사업,제주항공,HL8334,B737-800,39014,12.06.11,14,19.05.03,189,79000kg,제주국제공항,임차,B738,738
26,국제항공운송사업,제주항공,HL8335,B737-800,39015,12.07.02,14,19.05.31,189,79000kg,제주국제공항,임차,B738,738
27,국제항공운송사업,제주항공,HL8337,B737-800,35983,11.04.19,15,19.06.06,189,79000kg,제주국제공항,임차,B738,738
28,국제항공운송사업,제주항공,HL8339,B737-800,40011,11.05.21,15,19.07.25,189,79000kg,제주국제공항,임차,B738,738
29,국제항공운송사업,제주항공,HL8336,B737-800,39016,12.08.16,14,19.09.10,189,79000kg,제주국제공항,임차,B738,738
30,국제항공운송사업,제주항공,HL8050,B737-800,36571,08.04.10,18,23.04.26,189,79105kg,제주국제공항,임차,B738,738
31,국제항공운송사업,제주항공,HL8539,B737-800,36570,08.04.10,18,23.06.28,189,79015kg,제주국제공항,임차,B738,738
32,국제항공운송사업,제주항공,HL8524,B737-8,66539,23.11.03,2,23.11.04,189,82190kg,제주국제공항,임구,B38M,7M8
33,국제항공운송사업,제주항공,HL8523,B737-8,66538,23.11.29,2,23.11.29,189,82190kg,제주국제공항,임구,B38M,7M8
34,국제항공운송사업,제주항공,HL8527,B737-800,32625,01.11.06,24,23.11.30,,79015kg,제주국제공항,임차,B738,738
35,국제항공운송사업,제주항공,HL8552,B737-8,66540,25.01.31,1,25.01.31,174,82190kg,제주국제공항,임구,B38M,7M8
36,국제항공운송사업,제주항공,HL8553,B737-8,66541,25.05.21,1,25.05.22,174,82190kg,제주국제공항,임구,B38M,7M8
37,국제항공운송사업,제주항공,HL8554,B737-8,66542,25.06.26,1,25.06.27,189,82190kg,제주국제공항,임구,B38M,7M8
38,국제항공운송사업,제주항공,HL8555,B737-8,66543,25.07.17,1,25.07.18,189,82190kg,제주국제공항,임구,B38M,7M8
39,국제항공운송사업,제주항공,HL8592,B737-8,66544,25.10.14,0,25.10.15,189,82190kg,제주국제공항,임구,B38M,7M8
40,국제항공운송사업,제주항공,HL8593,B737-8,66545,25.10.29,0,25.10.30,189,82190kg,제주국제공항,임구,B38M,7M8
41,국제항공운송사업,제주항공,HL8594,B737-8,66546,26.02.03,0,26.02.04,189,82190,제주국제공항,임구,B38M,7M8
42,국제항공운송사업,제주항공,HL8719,B737-8,66547,26.03.18,0,26.03.19,189,82190kg,제주국제공항,임구,B38M,7M8
43,국제항공운송사업,제주항공,HL8739,B737-8,66548,26.05.13,0,26.05.14,189,82190kg,제주국제공항,임구,B38M,7M8
44,국제항공운송사업,제주항공,HL8740,B737-8,66550,26.05.21,0,26.05.22,189,82190kg,제주국제공항,임구,B38M,7M8
45,국제항공운송사업,제주항공,HL8765,B737-8,66549,26.07.30,0,26.07.31,189,82190kg,제주국제공항,임구,B38M,7M8
1,항공기사용사업,주식회사 써니항공,HL5107,C-208,20800238,94.06.23,32,94.10.08,6,3628kg,김포공항,구매,C208,CN1
1,국가기관,중앙119구조본부,HL9451,AS-365N2,6504,97.01.24,29,07.12.05,14,4.25ton,충청강원119특수구조대,구매,AS65,
2,국가기관,중앙119구조본부,HL9452,AS-365N2,6549,99.12.10,26,07.12.05,14,4.25ton,충청강원119특수구조대,구매,AS65,
3,국가기관,중앙119구조본부,HL9472,EC225LP,2702,08.12.16,17,09.01.20,28,11ton,대구 구지면 구지서로,구매,EC45,
4,국가기관,중앙119구조본부,HL9666,EC225LP,3005,20.02.16,6,20.02.05,24,11000kg,경기도 남양주,구매,EC45,
5,국가기관,중앙119구조본부,HL9665,EC225LP,2994,20.03.27,6,20.07.10,24,11000kg,경기도 남양주,,EC45,
6,국가기관,중앙119구조본부,HL9686,KUHC-1,KUHC-1-22-002,22.09.15,3,22.09.16,12,8709kg,전남화순,구매,KUH1,
7,국가기관,중앙119구조본부,HL9687,KUHC-1,KUHC-1-22-003,22.09.08,3,22.09.23,12,8709kg,전남 화순군 이양면 학포로 327,구매,KUH1,
8,국가기관,중앙119구조본부,HL9677,S-92A,920302,21.10.20,4,23.12.07,19,12565kg,대구 구지면 구지서로,구매,S92,S92
9,국가기관,중앙119구조본부,HL9213,KUHC-1,KUH-1-26-007,26.04.30,0,26.05.08,12,8709kg,충청북도 충주시 주덕읍,구매,KUH1,
10,국가기관,중앙119구조본부,HL9215,KUHC-1,KUH-1-26-008,26.04.30,0,26.05.08,12,8709kg,충청북도 충주시 주덕읍,구매,KUH1,
1,항공기사용사업,중앙항업,HL1114,T-206H,T20608823,08.06.18,18,09.09.22,6,3800lbs,김포공항,구매,C206,
1,자가용,중원대학교,HL1231,C-172S,172S9843,05.06.15,21,15.12.01,4,2550lbs,무안공항,구매,C172,CN1
2,자가용,중원대학교,HL1232,C-172S,172S9852,05.06.16,21,15.12.01,4,2550lbs,무안공항,구매,C172,CN1
3,자가용,중원대학교,HL1233,C-172S,172S10509,07.05.24,19,15.12.01,4,2550lbs,무안공항,구매,C172,CN1
4,자가용,중원대학교,HL1273,C-172S,172S12044,17.06.05,9,17.09.04,4,2550lbs,무안공항,구매,C172,CN1
1,항공기사용사업,지오랩스(주),HL5121,C-208B,208B5045,13.08.23,13,22.07.14,10,3995kg,김포공항,구매,C208,CN1
1,국제항공운송사업,진에어,HL7560,B737-800,29981,00.07.10,26,00.08.15,147,79ton,포항공항,구매,B738,738
2,국제항공운송사업,진에어,HL7561,B737-800,29982,00.08.28,26,00.09.22,189,79ton,포항공항,임차,B738,738
3,국제항공운송사업,진에어,HL7562,B737-800,29983,00.09.15,25,00.10.11,189,79ton,인천국제공항,임차,B738,738
4,국제항공운송사업,진에어,HL7718,B737-900,29996,03.05.28,23,03.06.20,188,79.02ton,포항공항,구매,B739,739
5,국제항공운송사업,진에어,HL7719,B737-900,29997,03.11.09,22,03.12.17,188,79ton,포항공항,구매,B739,739
6,국제항공운송사업,진에어,HL7724,B737-900,29998,04.04.09,22,04.05.17,188,79ton,포항공항,구매,B739,739
7,국제항공운송사업,진에어,HL7734,B777-200,34207,05.07.06,21,05.07.28,393,292.56ton,무안공항,임차,B772,772
8,국제항공운송사업,진에어,HL7743,B777-200,34208,06.08.03,20,06.08.29,393,292.56ton,무안공항,임차,B772,772
9,국제항공운송사업,진에어,HL7757,B737-800,35790,06.11.08,19,06.12.06,147,79ton,포항공항,임차,B738,738
10,국제항공운송사업,진에어,HL7750,B777-200,34209,07.05.09,19,07.05.10,393,292.56ton,김포공항,임차,B772,772
11,국제항공운송사업,진에어,HL7786,B737-800,37163,09.06.18,17,09.07.15,147,79ton,김포공항,임차,B738,738
12,국제항공운송사업,진에어,HL8224,B737-800,38822,11.06.25,15,11.07.19,138,74.4ton,포항공항,임차,B738,738
13,국제항공운송사업,진에어,HL8225,B737-800,38823,11.10.05,14,11.11.07,138,74.4ton,포항공항,임차,B738,738
14,국제항공운송사업,진에어,HL8242,B737-800,38824,11.12.19,14,12.01.23,138,79ton,청주국제공항,임차,B738,738
15,국제항공운송사업,진에어,HL8243,B737-800,38825,12.01.31,14,12.02.17,138,79ton,청주국제공항,임차,B738,738
16,국제항공운송사업,진에어,HL8244,B737-800,38826,12.02.13,14,12.03.02,138,79ton,청주국제공항,임차,B738,738
17,국제항공운송사업,진에어,HL8245,B737-800,38827,12.03.23,14,12.04.02,138,79ton,김해공항,임차,B738,738
18,국제항공운송사업,진에어,HL8246,B737-800,41299,12.05.17,14,12.06.04,138,79ton,김해공항,임차,B738,738
19,국제항공운송사업,진에어,HL8247,B737-800,41300,12.10.01,13,12.10.22,138,79ton,김해공항,임차,B738,738
20,국제항공운송사업,진에어,HL8012,B737-800,41348,15.07.14,11,15.07.27,189,79ton,포항공항,임차,B738,738
21,국제항공운송사업,진에어,HL8013,B737-800,41346,15.08.31,10,15.09.11,189,79ton,원주공항,임차,B738,738
22,국제항공운송사업,진에어,HL8015,B737-800,42061,15.09.30,10,15.10.13,189,79.0ton,원주공항,임차,B738,738
23,국제항공운송사업,진에어,HL8014,B737-800,42051,15.10.12,10,15.10.23,189,79.0ton,원주공항,임차,B738,738
24,국제항공운송사업,진에어,HL8016,B737-800,41341,16.03.05,10,16.03.18,189,79ton,원주공항,임차,B738,738
25,국제항공운송사업,진에어,HL8017,B737-800,42055,16.06.19,10,16.06.29,189,79.0ton,원주공항,임차,B738,738
26,국제항공운송사업,진에어,HL8353,B737-8,63443,21.11.10,4,22.06.06,189,82190kg,무안공항,임구,B38M,7M8
27,국제항공운송사업,진에어,HL7215,B737-8,63444,24.02.09,2,24.02.09,189,82190kg,제주국제공항,임구,B38M,7M8
28,국제항공운송사업,진에어,HL7217,B737-8,63445,24.06.14,2,24.06.14,189,82190kg,원주공항,임구,B38M,7M8
29,국제항공운송사업,진에어,HL7218,B737-8,63441,24.09.14,1,24.09.14,189,82190kg,원주공항,임구,B38M,7M8
30,국제항공운송사업,진에어,HL7216,B737-8,63442,24.11.19,1,24.11.19,189,82190kg,청주국제공항,임구,B38M,7M8
31,국제항공운송사업,진에어,HL8568,B737-8,63450,26.01.27,0,26.01.28,189,82190kg,김해공항,임구,B38M,7M8
32,국제항공운송사업,진에어,HL8569,B737-8,63451,26.03.04,0,26.03.05,189,82190kg,김해공항,임구,B38M,7M8
1,항공기사용사업,첨단공간정보,HL5241,PA-31T,31T-7920028,79.01.23,47,18.09.11,7,9000lbs,김포공항,구매,PAY3,
2,항공기사용사업,첨단공간정보,HL1004,TU-206G,U20605318,80.10.08,45,98.10.27,3,1.633ton,김포공항,구매,C206,
1,자가용,초당학원,HL1188,DA 40 NG,40.N144,14.02.19,12,14.06.18,4,2822lbs,무안공항,구매,DA40,
2,자가용,초당학원,HL1189,DA 40 NG,40.N145,14.02.19,12,14.06.18,4,2822lbs,무안공항,구매,DA40,
3,자가용,초당학원,HL1190,DA 40 NG,40.N176,14.03.11,12,14.06.18,4,2822lbs,무안공항,구매,DA40,
4,자가용,초당학원,HL1226,DA 40 NG,40.N275,15.02.23,11,15.06.17,4,2822lbs,무안공항,구매,DA40,
5,자가용,초당학원,HL1227,DA 40 NG,40.N276,15.03.03,11,15.06.17,4,2822lbs,무안공항,구매,DA40,
6,자가용,초당학원,HL1228,DA 40 NG,40.N277,15.03.17,11,15.06.17,4,2822lbs,무안공항,구매,DA40,
7,자가용,초당학원,HL1229,DA 40 NG,40.N278,15.03.17,11,15.06.17,4,2822lbs,무안공항,구매,DA40,
8,자가용,초당학원,HL2041,DA 42 NG,40.N181,15.05.13,11,15.07.13,4,1900kg,무안공항,구매,DA42,
9,자가용,초당학원,HL1264,DA 40 NG,40.N325,17.03.23,9,17.07.07,4,1310kg,무안공항,구매,DA40,
10,자가용,초당학원,HL1265,DA 40 NG,40.N326,17.03.23,9,17.07.07,4,1310kg,무안공항,구매,DA40,
11,자가용,초당학원,HL1266,DA-40NG,40.N327,17.03.22,9,17.07.07,4,1310kg,무안공항,구매,DA40,
12,자가용,초당학원,HL1288,DA 40 NG,40.N477,20.03.10,6,20.12.24,4,1310kg,무안공항,구매,DA40,
13,자가용,초당학원,HL1289,DA 40 NG,40.N478,20.03.10,6,20.12.24,4,1310kg,무안공항,구매,DA40,
14,자가용,초당학원,HL1290,DA 40 NG,40.N479,20.03.10,6,20.12.24,4,1310kg,무안공항,구매,DA40,
15,자가용,초당학원,HL2049,DA 42,42.N412,23.08.29,2,23.11.01,4,1900kg,무안공항,구매,DA42,
1,항공기사용사업,최**(1708),HL9156,H-369D,510966D,81.06.03,45,03.01.18,5,1.36ton,김포공항,구매,H369,
1,국가기관,충청남도,HL9611,AW139,41404,15.06.05,11,15.11.09,14,6400kg,충남 청양,구매,A139,
2,국가기관,충청남도,HL9400,AW139,32126,25.11.19,0,26.02.26,14,7000kg,충남 청양,구매,A139,
1,국가기관,충청북도,HL9457,BK117C-2,4007,04.10.30,21,07.11.23,10,3.585ton,청주시 17전투비행단,구매,BK17,
1,소형항공기운송사업,케이에비에이션(주),HL8222,B737-700,37660,09.07.27,17,10.07.14,16,77.6ton,김포공항,구매,B737,73G
2,소형항공기운송사업,케이에비에이션(주),HL9609,AW139,31569,14.10.10,11,14.10.31,14,6400kg,김포공항,구매,A139,
3,소형항공기운송사업,케이에비에이션(주),HL9610,AW139,31575,14.12.19,11,15.01.09,14,6400kg,김포공항,구매,A139,
4,소형항공기운송사업,케이에비에이션(주),HL9698,AW139,32069,24.06.27,2,24.07.16,6,7000kg,김포공항,구매,A139,
5,소형항공기운송사업,케이에비에이션(주),HL9201,H160-B,1051,24.11.22,1,25.01.06,6,6050kg,김포공항,구매,H160,
1,소형항공기운송사업,코리아익스프레스에어,HL8054,EMB-145EP,145065,98.06.24,28,15.12.10,50,20990kg,양양국제공항,임차,E145,ER4
1,항공기사용사업,터보라인(주),HL1103,C-172M,17262581,80.11.14,45,06.05.23,4,2300lbs,양양공항,구매,C172,CN1
1,자가용,테크남코리아,HL2047,P2006T,277,19.04.24,7,19.11.18,4,1230kg,전남 영암군,구매,P06T,
1,항공기사용사업,트랜스헬리,HL9621,S-58HT,58-1464,62.02.01,64,16.01.14,18,12500lbs,강릉,구매,S58,
2,항공기사용사업,트랜스헬리,HL9629,S-58JT,58-1502,77.02.01,49,16.12.09,18,12500lbs,강릉,구매,S58,
3,항공기사용사업,트랜스헬리,HL9662,S-58JT,58-1626,73.05.15,53,20.01.17,18,12500lbs,강릉,구매,S58,
4,항공기사용사업,트랜스헬리,HL9663,S-58JT,58-1662,63.07.01,63,20.01.22,18,12500lbs,강릉,구매,S58,
5,항공기사용사업,트랜스헬리,HL9209,S-58JT,58-1564,62.12.01,63,25.12.23,18,5897kg,강릉,구매,S58,
6,항공기사용사업,트랜스헬리,HL9238,S-58JT,58-801,76.12.15,49,88.10.19,14,5.67ton,강릉,구매,S58,
1,국제항공운송사업,트리니티항공,HL8095,B737-800,30725,17.06.15,9,07.06.15,189,79015kg,김포공항,임차,B738,738
2,국제항공운송사업,트리니티항공,HL8211,A330-200,1133,10.06.21,16,10.07.26,218,237.9ton,인천국제공항,구매,A332,332
3,국제항공운송사업,트리니티항공,HL8235,B737-800,39448,10.08.31,15,10.09.09,189,70.533ton,양양공항,임차,B738,738
4,국제항공운송사업,트리니티항공,HL8212,A330-200,1155,10.08.30,15,10.09.29,218,238ton,인천국제공항,구매,A332,332
5,국제항공운송사업,트리니티항공,HL8227,A330-200,1200,11.01.24,15,11.02.14,218,238ton,인천국제공항,구매,A332,332
6,국제항공운송사업,트리니티항공,HL8228,A330-200,1203,11.01.31,15,11.03.07,218,238ton,인천국제공항,구매,A332,332
7,국제항공운송사업,트리니티항공,HL8276,A330-200,1393,13.02.11,13,13.03.08,218,238ton,인천국제공항,구매,A332,332
8,국제항공운송사업,트리니티항공,HL8030,B737-800,41804,15.03.04,11,15.03.05,189,79015kg,인천국제공항,임차,B738,738
9,국제항공운송사업,트리니티항공,HL8056,B737-800,36572,08.04.17,18,15.12.10,189,79015kg,제주국제공항,임차,B738,738
10,국제항공운송사업,트리니티항공,HL8067,B737-800,35279,08.06.27,18,16.03.24,189,79015kg,제주국제공항,임구,B738,738
11,국제항공운송사업,트리니티항공,HL8069,B737-800,35000,09.03.31,17,16.04.29,189,78999kg,김포공항,임차,B738,738
12,국제항공운송사업,트리니티항공,HL8070,B737-800,37535,09.06.30,17,16.07.08,189,78999kg,인천국제공항,임차,B738,738
13,국제항공운송사업,트리니티항공,HL8086,B737-800,38819,11.01.28,15,16.12.13,189,79015kg,인천국제공항,임차,B738,738
14,국제항공운송사업,트리니티항공,HL8098,B737-800,40234,09.07.20,17,17.06.12,189,79015kg,대구공항,임차,B738,738
15,국제항공운송사업,트리니티항공,HL8220,B737-800,37162,09.05.27,17,17.06.29,189,79015kg,대구공항,임차,B738,738
16,국제항공운송사업,트리니티항공,HL8300,B737-800,64872,17.12.15,8,17.12.15,189,78999kg,인천국제공항,임차,B738,738
17,국제항공운송사업,트리니티항공,HL8306,B737-800,40308,11.02.09,15,18.04.18,189,78999kg,청주국제공항,임차,B738,738
18,국제항공운송사업,트리니티항공,HL8323,B737-800,34988,11.09.26,14,18.10.15,189,78999kg,김포공항,임차,B738,738
19,국제항공운송사업,트리니티항공,HL8326,B737-800,34992,11.09.26,14,18.10.30,189,78999kg,김포공항,임차,B738,738
20,국제항공운송사업,트리니티항공,HL8324,B737-800,34989,11.09.20,14,18.11.07,189,78999kg,김포공항,임차,B738,738
21,국제항공운송사업,트리니티항공,HL8327,B737-800,40238,10.11.05,15,18.12.26,189,78999kg,청주국제공항,임차,B738,738
22,국제항공운송사업,트리니티항공,HL8329,B737-800,40239,10.11.12,15,19.01.09,189,79015kg,인천국제공항,임차,B738,738
23,국제항공운송사업,트리니티항공,HL8363,B737-800,35791,07.01.17,19,19.03.29,189,78999kg,김포공항,임차,B738,738
24,국제항공운송사업,트리니티항공,HL8354,B737-800,40246,11.06.03,15,19.05.08,189,78999kg,청주국제공항,임차,B738,738
25,국제항공운송사업,트리니티항공,HL8378,B737-800,36815,09.09.08,16,19.11.14,189,79015kg,대구공항,임차,B738,738
26,국제항공운송사업,트리니티항공,HL8379,B737-800,36551,09.07.29,17,19.12.07,189,78999kg,대구공항,임차,B738,738
27,국제항공운송사업,트리니티항공,HL8501,A330-300,1058,09.10.29,16,22.02.22,347,235000kg,인천국제공항,임차,A333,333
28,국제항공운송사업,트리니티항공,HL8502,A330-300,1065,09.11.30,16,22.03.31,347,235000kg,청주국제공항,임차,A333,333
29,국제항공운송사업,트리니티항공,HL8500,A330-300,1072,09.12.11,16,22.05.19,347,235000kg,청주국제공항,임차,A333,333
30,국제항공운송사업,트리니티항공,HL8513,B737-8,62900,22.12.14,3,22.12.15,189,82190kg,대구공항,임차,B38M,7M8
31,국제항공운송사업,트리니티항공,HL8514,B737-8,62913,23.01.27,3,23.01.27,189,82190kg,대구공항,임차,B38M,7M8
32,국제항공운송사업,트리니티항공,HL8547,B737-800,40066,14.11.03,11,23.09.19,189,79015kg,청주국제공항,임차,B738,738
33,국제항공운송사업,트리니티항공,HL8565,B737-800,36553,09.10.29,16,24.03.19,189,79016kg,대구공항,임차,B738,738
34,국제항공운송사업,트리니티항공,HL8564,B737-800,41397,14.01.28,12,24.06.10,189,79015kg,청주국제공항,임차,B738,738
35,국제항공운송사업,트리니티항공,HL8560,A330-300,1533,14.06.06,12,24.11.12,377,235000kg,청주국제공항,임차,A333,333
36,국제항공운송사업,트리니티항공,HL8706,B777-300ER,41430,13.11.27,12,24.12.09,294,34473000kg,인천국제공항,임차,B77W,77W
37,국제항공운송사업,트리니티항공,HL8708,A330-200,1096,10.03.31,16,25.03.19,256,238ton,청주국제공항,임차,A332,332
38,국제항공운송사업,트리니티항공,HL8707,B777-300ER,41432,13.03.16,13,25.03.21,294,,인천국제공항,임차,B77W,77W
39,국제항공운송사업,트리니티항공,HL8580,B737-8,62936,25.06.04,1,25.06.05,189,82190kg,청주국제공항,임차,B38M,7M8
40,국제항공운송사업,트리니티항공,HL8581,B737-8,66412,25.06.04,1,25.06.18,189,82190kg,청주국제공항,임차,B38M,7M8
41,국제항공운송사업,트리니티항공,HL8561,A330-300,1549,14.08.14,12,25.07.10,347,235000kg,청주국제공항,임차,A333,333
42,국제항공운송사업,트리니티항공,HL8579,B737-8,62919,25.08.25,0,25.08.26,189,82190kg,청주국제공항,임차,B38M,7M8
43,국제항공운송사업,트리니티항공,HL8737,B737-800,37932,10.12.01,15,25.10.02,189,79015kg,청주국제공항,임차,B738,738
44,국제항공운송사업,트리니티항공,HL8738,B737-800,37934,10.12.13,15,25.11.26,189,79015kg,김해공항,임차,B738,738
45,국제항공운송사업,트리니티항공,HL8751,B737-8,44325,26.01.28,0,26.01.29,189,82190kg,김해공항,임차,B38M,7M8
46,국제항공운송사업,트리니티항공,HL8752,B737-8,44323,26.03.23,0,26.03.24,189,82190kg,김해공항,임차,B38M,7M8
47,국제항공운송사업,트리니티항공,HL8753,B737-8,66420,26.04.13,0,26.04.14,189,82190kg,김해공항,임차,B38M,7M8
1,항공기사용사업,티티엠코리아항공,HL1074,C-172P,17276636,86.06.06,40,00.08.18,4,1.08ton,고창비행장,구매,C172,CN1
1,국제항공운송사업,파라타항공,HL8709,A330-200,1016,09.05.28,17,25.07.30,294,233000kg,양양국제공항,임차,A332,332
2,국제항공운송사업,파라타항공,HL8742,A320-200,3978,09.07.06,17,25.09.05,174,73500kg,양양공항,임차,A320,320
3,국제항공운송사업,파라타항공,HL8714,A330-200,0919,08.04.15,18,25.10.17,260,233000kg,양양국제공항,임차,A332,332
4,국제항공운송사업,파라타항공,HL8741,A320-200,3976,09.07.03,17,25.11.06,174,73500kg,양양국제공항,임차,A320,320
5,국제항공운송사업,파라타항공,HL8768,A330-200,,12.02.22,14,26.07.24,,,양양국제공항,임차,A332,332
1,항공기사용사업,펄코리아,HL9480,MI-2,529707036,86.03.28,40,08.12.29,9,3.55ton,김포공항,구매,MI2,
1,자가용,포스코,HL9266,S-76C,760515,01.08.31,24,01.09.21,12,5.307ton,포항제철 헬리포트,구매,S76,S76
2,자가용,포스코,HL9291,S-76C,760611,06.07.20,20,06.07.20,12,5.307ton,뵈怠봬,구매,S76,S76
1,항공기사용사업,플라잉타이거즈,HL1137,PA-25-235,25-7405688,74.07.30,52,10.07.27,1,1.315ton,전남 영암군,구매,PA25,
1,항공기사용사업,하나항공,HL1105,T-207A,20700727,81.10.08,44,07.04.20,8,"3,800lbs",김포공항,구매,C207,
2,항공기사용사업,하나항공,HL9477,AS-355F1,5136,94.08.04,32,08.10.17,7,2.6ton,김포공항,구매,AS55,
1,소형항공기운송사업,하이에어,HL5243,ATR 72-212A,862,09.04.20,17,19.05.23,50,23000kg,울산공항,구매,AT72,AT7
2,소형항공기운송사업,하이에어,HL5246,ATR 72-212A,944,11.03.04,15,23.03.08,50,22500kg,대구공항,구매,AT72,AT7
1,자가용,학교법인 일현학원,HL1180,C-172S,172S8063,99.01.02,27,13.08.08,4,2550lbs,김포공항,구매,C172,CN1
2,자가용,학교법인 일현학원,HL1191,C-172S,172S9064,02.04.11,24,13.12.12,4,2550lbs,양양국제공항,구매,C172,CN1
3,자가용,학교법인 일현학원,HL1199,C-172S,172S8262,99.09.30,26,14.05.14,4,2550lbs,강원도 양양,구매,C172,CN1
4,자가용,학교법인 일현학원,HL2040,DA 42,42.AC021,06.12.06,19,14.11.11,4,1785kg,김포공항,구매,DA42,
5,자가용,학교법인 일현학원,HL1280,C-172S,172S8615,00.10.11,25,18.09.19,4,2550lbs,한서대학교 태안비행장,구매,C172,CN1
6,자가용,학교법인 일현학원,HL1285,C-172S,172S12049,17.06.01,9,19.09.03,4,1157kg,양양국제공항,구매,C172,CN1
7,자가용,학교법인 일현학원,HL1286,C-172S,172S10399,06.09.05,19,19.09.30,4,1157kg,양양국제공항,구매,C172,CN1
8,자가용,학교법인 일현학원,HL1292,C-172S,172S9666,04.07.15,22,20.01.31,4,1157kg,양양공항,구매,C172,CN1
9,자가용,학교법인 일현학원,HL1291,C-172S,172S12434,20.02.03,6,20.04.28,4,1157kg,강원도 양양,구매,C172,CN1
1,자가용,학교법인 청석학원,HL1176,DA 40 NG,40.N139,13.10.22,12,14.01.22,4,1280kg,청주국제공항,구매,DA40,
2,자가용,학교법인 청석학원,HL1177,DA 40 NG,40.N140,13.10.28,12,14.01.22,4,1280kg,청주국제공항,구매,DA40,
3,자가용,학교법인 청석학원,HL1178,DA 40 NG,40.N141,13.10.23,12,14.01.22,4,1280kg,청주국제공항,구매,DA40,
4,자가용,학교법인 청석학원,HL1179,DA 40 NG,40.N142,13.11.06,12,14.01.22,4,1280kg,청주국제공항,구매,DA40,
5,자가용,학교법인 청석학원,HL1252,DA-40NG,40.N299,15.10.01,10,16.02.29,4,1280kg,무안공항,구매,DA40,
6,자가용,학교법인 청석학원,HL1253,DA-40NG,40.N300,15.10.13,10,16.02.29,4,1280kg,무안공항,구매,DA40,
7,자가용,학교법인 청석학원,HL1254,DA-40NG,40.N301,15.10.21,10,16.02.29,4,1280kg,무안공항,구매,DA40,
8,자가용,학교법인 청석학원,HL2046,DA 42 NG,42.N232,16.11.10,9,17.05.11,4,1999kg,무안공항,구매,DA42,
9,자가용,학교법인 청석학원,HL1295,DA-40NG,40.N269,15.01.07,11,21.08.03,4,1310kg,무안공항,구매,DA40,
1,자가용,학교법인 함주학원,HL6142,ENSTROM 280FX,2112,05.09.14,20,05.11.04,3,2600lbs,한서대학교 태안비행장,구매,E280,
2,자가용,학교법인 함주학원,HL1095,C-172S,172S10084,05.12.22,20,06.04.07,4,2550lbs,한서대학교 태안비행장,구매,C172,CN1
3,자가용,학교법인 함주학원,HL1096,C-172S,172S10092,05.12.22,20,06.04.07,4,1.157ton,한서대학교 태안비행장,구매,C172,CN1
4,자가용,학교법인 함주학원,HL1097,C-172S,172S10047,05.12.21,20,06.04.07,4,2550lbs,한서대학교 태안비행장,구매,C172,CN1
5,자가용,학교법인 함주학원,HL1101,C-172S,172S10185,06.05.08,20,06.07.18,4,1.157ton,한서대학교 태안비행장,구매,C172,CN1
6,자가용,학교법인 함주학원,HL9175,ENSTROM 480B,5100,06.12.12,19,06.12.12,5,1.361ton,한서대학교 태안비행장,구매,E480,
7,자가용,학교법인 함주학원,HL1083,C-172S,172S10766,08.07.11,18,08.10.15,4,1.157ton,한서대학교 태안비행장,구매,C172,CN1
